,name,ncaa_name,reference_name,logos,conference,conference_2,url_conference,primary,secondary,tertiary,quaternary,background,border
290,TCU,TCU,Texas Christian,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tcu.svg,Big 12,Big 12,https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png,#4D1979,#A3A9AC,#ffffff,,#b42b36,#B42B36
291,Temple Owls,Temple,Temple,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/temple.svg,AAC,AAC,https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png,#9D2235,#FFCD00,#8A8D8F,#C1C6C8,#0a1f3f,#D0392B
292,Tennessee Volunteers,Tennessee,Tennessee ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee.svg,SEC,SEC,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png,#FF8200,#58595B,#ffffff,,#264279,#F8D366
293,Tennessee State Tigers,Tennessee St.,Tennessee State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee-st.svg,OVC,OVC,https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png,#00539F,#ffffff,,,#a51341,#000000
294,Tennessee Tech,Tennessee Tech,Tennessee Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee-tech.svg,OVC,OVC,https://sportslogohistory.com/wp-content/uploads/2019/05/ohio_valley_conference_2000-pres.png,#4F2984,#FFDD00,,,#a51341,#000000
295,Texas,Texas,Texas ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/1200px-Texas_Longhorns_logo.svg.png,Big 12,Big 12,https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png,#BF5700,#333F48,#ffffff,,#b42b36,#B42B36
296,Texas A&M Aggies,Texas A&M,Texas A&M,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-am.svg,SEC,SEC,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png,#500000,#ffffff,,,#264279,#F8D366
297,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg/1200px-Texas_A%26M%E2%80%93Corpus_Christi_Islanders_logo.svg.png,Southland,Southland,https://www.southland.org/images/main_logo.png,#0067C5,#007F3E,#9EA2A4,#002E57,#002649,#ffffff
298,Texas Southern Tigers,Texas Southern,Texas Southern ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-southern.svg,SWAC,SWAC,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Southwestern_Athletic_Conference_logo.svg/250px-Southwestern_Athletic_Conference_logo.svg.png,#6F263D,#A2AAAD,,,#ed192d,#000000
299,Texas State Bobcats,Texas St.,Texas State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-st.svg,Sunbelt,Sunbelt,https://sportslogohistory.com/wp-content/uploads/2020/06/sun_belt__conference_2020-pres.png,#501214,#8D734A,,,#205296,#F3BA44
