,name,ncaa_name,reference_name,logos,conference,conference_2,url_conference,primary,secondary,tertiary,quaternary,background,border
346,Washington Huskies,Washington,Washington,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/washington.svg,Pac-12,Pac-12,https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png,#4B2E83,#B7A57A,#85754D,,#1d4b8c,#000000
347,Washington State Cougars,Washington St.,Washington State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/washington-st.svg,Pac-12,Pac-12,https://sportslogohistory.com/wp-content/uploads/2017/12/pac-12_2001-pres.png,#981E32,#5E6A71,,,#1d4b8c,#000000
348,Weber State Wildcats,Weber St.,Weber State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/weber-st.svg,Big Sky,Big Sky,https://sportslogohistory.com/wp-content/uploads/2019/05/big_sky_conference_2013-pres.png,#A1A1A4,#130C0E,,,#015dab,#70CEE4
349,West Virginia Mountaineers,West Virginia,West Virginia ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/West_Virginia_Mountaineers_logo.svg/1200px-West_Virginia_Mountaineers_logo.svg.png,Big 12,Big 12,https://sportslogohistory.com/wp-content/uploads/2019/10/big_12_conference_2019-pres.png,#002855,#EAAA00,,,#b42b36,#B42B36
350,Western Carolina Catamounts,Western Caro.,Western Carolina,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/western-caro.svg,SoCon,SoCon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png,#592C88,#B9975B,,,#001489,#da291c
351,Western Illinois Leathernecks,Western Ill.,Western Illinois,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/western-ill.svg,Summit League,Summit,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Summit_League_logo.svg/250px-Summit_League_logo.svg.png,#663399,#FFCC00,,,#215499,#939598
352,Western Kentucky Hilltoppers,Western Ky.,Western Kentucky,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/western-ky.svg,C-USA,C-USA,https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png,#C60C30,#1E1E1E,#A2A4A3,,#003865,#A6192E
353,Western Michigan Broncos,Western Mich.,Western Michigan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/western-mich.svg,MAC,MAC,https://sportslogohistory.com/wp-content/uploads/2019/02/mid-american_conference_2008-pres.png,#6C4023,#B5A167,#AAA8AA,#000000,#142846,#479F66
354,Wichita State Shockers,Wichita St.,Wichita State ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wichita-st.svg,AAC,AAC,https://sportslogohistory.com/wp-content/uploads/2019/10/american_athletic__conference_2017-pres.png,#FFCD00,#000000,,,#0a1f3f,#D0392B
355,William & Mary,William & Mary,William & Mary,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/william-mary.svg,CAA,CAA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Colonial_Athletic_Association_2013_logo.png/250px-Colonial_Athletic_Association_2013_logo.png,#115740,#F0B323,#D0D3D4,,#002649,#ffffff
356,Winthrop Eagles,Winthrop,Winthrop ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/winthrop.svg,Big South,Big South,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Big_South_Conference_Logo_%282017%29.png/800px-Big_South_Conference_Logo_%282017%29.png,#872434,#FFC82E,,,#0082cc,#ec7422
357,Wisconsin,Wisconsin,Wisconsin ,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wisconsin.svg,Big Ten,Big 10,https://sportslogohistory.com/wp-content/uploads/2017/12/big_ten_conference_2012-pres.png,#C5050C,#ffffff,#9B0000,,#0088ce,#000000
358,Wofford,Wofford,Wofford,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wofford.svg,SoCon,SoCon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Southern_Conference_logo.svg/200px-Southern_Conference_logo.svg.png,#886E4C,#000000,,,#001489,#da291c
359,Wright State Raiders,Wright St.,Wright State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wright-st.svg,Horizon,Horizon,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png,#026937,#CEA052,#FFE1A5,#DE6328,#de7c00,#000000
360,Wyoming Cowboys,Wyoming,Wyoming,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Wyoming_Athletics_logo.svg/346px-Wyoming_Athletics_logo.svg.png,Mountain West,MWC,https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png,#FFC425,#492F24,,,#4a317a,#AFAFAF
361,Xavier Musketeers,Xavier,Xavier,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/xavier.svg,Big East,Big East,https://sportslogohistory.com/wp-content/uploads/2017/12/big_east_conference_2005-pres.png,#0C2340,#9EA2A2,#0099CC,,#163e79,#DA3742
362,Yale Bulldogs,Yale Bulldogs,Yale,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/yale.svg,Ivy,Ivy,https://sportslogohistory.com/wp-content/uploads/2019/05/ivy_league_2000-pres.png,#00356B,#ffffff,,,#01563f,#01563f
363,Youngstown State Penguins,Youngstown St.,Youngstown State,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/youngstown-st.svg,Horizon,Horizon,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png,#C8102E,#F3D54E,,,#de7c00,#000000
